"References","Qty","Manufacturer","RS","mpn"
"C1, C2, C3, C4, C5, C6","6","AVX","698-3251","06035C104K4T2A "
"D1","1","OSRAM","778-1434 ","LY Q396 "
"P1","1","Molex","542-7113 ","53261-0471"
"P2","1","Molex","542-7113 ","53261-0471"
"P3","1","Molex","542-7113 ","53261-0471"
"P4","1","Molex","542-7107","53261-0371"
"R1","1","Vishay","678-9718 ","CRCW0603120RFKEA "
"R2, R3","2","Vishay","678-9670","CRCW06030000Z0EB"
"U1","1","Cypress","125-4170 ","CY8C27143-24PXI"
"U2","1","Analog Devices","709-7966 ","ADM3101EARQZ "
